City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
0,Lompoc,US,65.57,clear sky,34.64,-120.46,"Holiday Inn Express Lompoc, an IHG Hotel"
5,Hobyo,SO,78.31,overcast clouds,5.35,48.53,Halane Hotel and Restaurent
6,Codrington,AU,66.18,scattered clouds,-38.27,141.97,Codrington Gardens Bed And Breakfast
8,Ribeira Do Pombal,BR,81.46,broken clouds,-10.83,-38.54,Pousada Central
10,Hualmay,PE,71.56,few clouds,-11.1,-77.61,Hotel Restaurant Turístico Casablanca
12,Busselton,AU,60.08,overcast clouds,-33.65,115.33,Observatory Guest House
18,Biu,NG,67.42,few clouds,10.61,12.19,EYN LCC MANDARAGIRAU
19,Arraial Do Cabo,BR,75.16,broken clouds,-22.97,-42.03,Pousada Porto Praia
20,Kouango,CF,80.06,broken clouds,4.99,19.96,
21,Rikitea,PF,75.76,overcast clouds,-23.12,-134.97,People ThankYou
22,Georgetown,MY,77.95,scattered clouds,5.41,100.34,Cititel Penang
24,Ahipara,NZ,67.21,few clouds,-35.17,173.17,Ahipara Holiday Park
25,Bambous Virieux,MU,77.25,scattered clouds,-20.34,57.76,Casa Tia Villa
26,Bredasdorp,ZA,61.92,clear sky,-34.53,20.04,Bredasdorp Country Manor
27,Nacozari,MX,81.43,overcast clouds,25.34,-108.26,
31,Guerrero Negro,MX,68.04,clear sky,27.98,-114.06,"Casa Laguna, Bed & Breakfast"
32,Labuhan,ID,80.01,overcast clouds,-6.88,112.21,Labuhan
33,Puerto Ayora,EC,80.56,overcast clouds,-0.74,-90.35,Finch Bay Galapagos Hotel
35,Vao,NC,75.09,clear sky,-22.67,167.48,Hotel Kou-Bugny
36,San Antonio,US,80.37,broken clouds,29.42,-98.49,Hyatt Place San Antonio/Riverwalk
40,Kapaa,US,79.12,light rain,22.08,-159.32,Sheraton Kauai Coconut Beach Resort
41,Victoria,HK,64.33,overcast clouds,22.29,114.16,Mini Hotel Central
