City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Lompoc,US,34.64,-120.46,65.57,64,1,6.91,clear sky
1,Jamestown,US,42.10,-79.24,41.09,61,1,1.99,clear sky
2,Tuktoyaktuk,CA,69.45,-133.04,-14.8,76,90,9.22,light snow
3,Petropavlovsk-Kamchatskiy,RU,53.05,158.65,5.59,72,75,11.18,light shower snow
4,Nikolskoye,RU,59.70,30.79,30.09,99,93,3.27,overcast clouds
5,Hobyo,SO,5.35,48.53,78.31,82,98,19.44,overcast clouds
6,Codrington,AU,-38.27,141.97,66.18,77,38,16.17,scattered clouds
7,Bluff,NZ,-46.60,168.33,52.81,68,72,25.34,broken clouds
8,Ribeira Do Pombal,BR,-10.83,-38.54,81.46,63,64,11.12,broken clouds
9,Kruisfontein,ZA,-34.00,24.73,58.89,67,1,13.51,clear sky
10,Hualmay,PE,-11.10,-77.61,71.56,76,22,12.84,few clouds
11,Tazovskiy,RU,67.47,78.70,-34.94,99,55,5.21,broken clouds
12,Busselton,AU,-33.65,115.33,60.08,70,100,16.93,overcast clouds
13,Bereslavka,RU,48.63,44.04,34.57,94,100,7.38,overcast clouds
14,Lock Haven,US,41.14,-77.45,48.97,43,100,5.91,overcast clouds
15,Saskylakh,RU,71.92,114.08,-35.66,100,96,5.82,overcast clouds
16,Barrow,US,71.29,-156.79,-9.38,77,90,18.41,light snow
17,Mataura,NZ,-46.19,168.86,52.48,79,78,10.8,broken clouds
18,Biu,NG,10.61,12.19,67.42,32,20,9.46,few clouds
19,Arraial Do Cabo,BR,-22.97,-42.03,75.16,94,75,0.0,broken clouds
20,Kouango,CF,4.99,19.96,80.06,34,67,1.99,broken clouds
21,Rikitea,PF,-23.12,-134.97,75.76,71,95,14.99,overcast clouds
22,Georgetown,MY,5.41,100.34,77.95,95,40,0.0,scattered clouds
23,Broome,US,42.25,-75.83,47.7,41,1,1.01,clear sky
24,Ahipara,NZ,-35.17,173.17,67.21,59,22,11.1,few clouds
25,Bambous Virieux,MU,-20.34,57.76,77.25,83,40,2.3,scattered clouds
26,Bredasdorp,ZA,-34.53,20.04,61.92,72,0,21.85,clear sky
27,Nacozari,MX,25.34,-108.26,81.43,24,100,4.14,overcast clouds
28,Amberley,US,39.20,-84.43,45.55,72,90,1.99,light rain
29,Kaitangata,NZ,-46.28,169.85,54.93,75,19,15.95,few clouds
30,Peachland,CA,49.77,-119.74,24.53,57,100,1.54,overcast clouds
31,Guerrero Negro,MX,27.98,-114.06,68.04,39,0,5.66,clear sky
32,Labuhan,ID,-6.88,112.21,80.01,84,100,1.48,overcast clouds
33,Puerto Ayora,EC,-0.74,-90.35,80.56,90,87,4.0,overcast clouds
34,Mainpuri,IN,27.23,79.02,51.03,34,0,7.78,clear sky
35,Vao,NC,-22.67,167.48,75.09,65,1,16.46,clear sky
36,San Antonio,US,29.42,-98.49,80.37,65,75,5.01,broken clouds
37,Korla,CN,41.76,86.15,21.87,61,0,4.59,clear sky
38,Egvekinot,RU,66.32,-179.17,-19.39,89,48,13.78,scattered clouds
39,Yar-Sale,RU,66.83,70.83,-24.32,100,100,7.85,overcast clouds
40,Kapaa,US,22.08,-159.32,79.12,77,75,1.99,light rain
41,Victoria,HK,22.29,114.16,64.33,69,99,4.0,overcast clouds
42,Rio Grande,BR,-32.03,-52.10,73.51,78,47,16.87,scattered clouds
43,Kodiak,US,57.79,-152.41,24.31,80,1,3.44,clear sky
44,Rawson,AR,-43.30,-65.10,84.49,26,40,21.85,scattered clouds
45,Castro,BR,-24.79,-50.01,72.46,80,76,9.53,broken clouds
46,Dong Hoi,VN,17.48,106.60,70.11,87,100,17.11,overcast clouds
47,Airai,TL,-8.93,125.41,60.64,74,93,1.95,overcast clouds
48,Ushuaia,AR,-54.80,-68.30,56.86,62,40,13.8,scattered clouds
49,Tiksi,RU,71.69,128.87,-23.73,100,100,3.31,overcast clouds
50,Yellowknife,CA,62.46,-114.35,-24.72,75,20,8.05,few clouds
51,Qaqortoq,GL,60.72,-46.03,18.1,74,1,5.73,clear sky
52,Punta Arenas,CL,-53.15,-70.92,55.51,67,75,11.5,broken clouds
53,Mercedes,AR,-34.65,-59.43,86.18,22,0,15.73,clear sky
54,Waraseoni,IN,21.75,80.03,60.22,64,3,11.72,clear sky
55,Qaanaaq,GL,77.48,-69.36,-8.77,94,100,4.5,overcast clouds
56,Chuy,UY,-33.70,-53.46,68.56,64,17,13.04,few clouds
57,Mar Del Plata,AR,-38.00,-57.56,73.42,87,0,18.99,clear sky
58,Longyearbyen,SJ,78.22,15.64,31.84,69,40,21.85,scattered clouds
59,Fairbanks,US,64.84,-147.72,8.56,82,90,0.0,light snow
60,Iquique,CL,-20.22,-70.14,69.84,72,68,10.98,broken clouds
61,Cape Town,ZA,-33.93,18.42,67.26,62,0,3.0,clear sky
62,Acapulco,MX,16.86,-99.89,85.82,70,20,6.91,few clouds
63,Cremona,IT,45.23,9.93,34.7,100,0,4.07,clear sky
64,Manokwari,ID,-0.87,134.08,78.08,81,73,3.15,broken clouds
65,Darab,IR,28.75,54.54,54.37,58,99,1.81,overcast clouds
66,Sandnessjoen,NO,66.02,12.63,44.71,94,75,3.0,light intensity drizzle
67,Ilulissat,GL,69.22,-51.10,15.82,48,40,14.97,scattered clouds
68,Aklavik,CA,68.22,-135.01,-12.28,69,75,4.61,broken clouds
69,Carnarvon,AU,-24.87,113.63,68.07,73,40,14.97,scattered clouds
70,Srednekolymsk,RU,67.45,153.68,-19.97,97,100,7.27,overcast clouds
71,Ribeira Grande,PT,38.52,-28.70,59.4,58,20,8.05,few clouds
72,Hay River,CA,60.82,-115.80,-16.62,69,20,10.36,few clouds
73,Lebu,CL,-37.62,-73.65,60.76,70,0,9.33,clear sky
74,Juneau,US,58.30,-134.42,27.84,95,90,0.0,light snow
75,Deputatskiy,RU,69.30,139.90,-34.02,99,84,3.2,broken clouds
76,Baruun-Urt,MN,46.68,113.28,-1.93,75,83,6.31,broken clouds
77,Atuona,PF,-9.80,-139.03,77.43,75,7,8.23,light rain
78,Muroto,JP,33.28,134.15,33.84,56,41,16.75,scattered clouds
79,Bairiki,KI,1.33,172.98,86.0,74,20,13.8,light rain
80,Ambon,ID,-3.70,128.18,78.94,94,40,4.61,scattered clouds
81,Ambovombe,MG,-25.17,46.08,73.53,89,67,8.7,broken clouds
82,Hami,CN,42.80,93.45,23.27,56,3,3.38,clear sky
83,Morden,CA,49.19,-98.10,8.98,78,100,8.05,overcast clouds
84,Antofagasta,CL,-23.65,-70.40,67.12,73,89,10.13,overcast clouds
85,Severo-Kurilsk,RU,50.68,156.12,27.25,88,100,32.12,light snow
86,Thompson,CA,55.74,-97.86,-12.84,77,75,5.75,broken clouds
87,Coquimbo,CL,-29.95,-71.34,65.93,68,20,13.8,few clouds
88,Hambantota,LK,6.12,81.12,73.74,100,40,0.0,scattered clouds
89,Dunedin,NZ,-45.87,170.50,58.8,51,59,11.99,broken clouds
90,Maltahohe,NA,-24.83,16.98,70.68,27,81,8.14,broken clouds
